"FACILITY_ID","NURSING_UNIT_CODE","LONG_DESC","SHORT_DESC","NURSING_UNIT_TYPE_CODE","LOCN_TYPE","AGE_GROUP_CODE","DEPT_CODE","SERVICE_CODE","FS_LOCN_CODE","INCL_FOR_HOSP_OCCUP_CALC_YN","ALLOW_EMERG_TRF_YN","TEMPORARY_LOCATION_YN","TEACHING_LOCATION_YN","ALLOW_PSEUDO_BED_YN","GENERATE_PSEUDO_BED_SRL_YN","CHECK_SAME_SEX_IN_ROOM_YN","PREFIX_FOR_PSEUDO_BED_SRL_NO","NEXT_PSEUDO_BED_SRL","MAX_PSEUDO_BED_SRL","NUM_OF_BEDS","NUM_OF_PSEUDO_BEDS","NUM_OF_BEDS_OCCUPIED","ONLINE_MR_NOTFN_YN","AUTO_FILE_TRANSFER_YN","RELEASE_BED_ON_LEAVE_YN","SECTION_CODE","MR_SECTION_TYPE","MR_SECTION_CODE","LEVEL_OF_CARE_CODE","APPL_PATIENT_CLASS","DFLT_FILE_TYPE_CODE","ALLOW_NEW_BORN_REGN_YN","PHYSICAL_LOCATION","EFF_STATUS","ADDED_BY_ID","ADDED_DATE","ADDED_AT_WS_NO","ADDED_FACILITY_ID","MODIFIED_BY_ID","MODIFIED_DATE","MODIFIED_AT_WS_NO","MODIFIED_FACILITY_ID","FLOOR_WIDTH","FLOOR_HEIGHT"
WK,W8B,"8B Ginekologi 2","8B Ginekologi 2",NT01,N,,"030700",GY01,W8B,Y,Y,N,N,Y,N,N,,,,38,"0",21,N,N,N,,C,MR,LC04,IP,PF,N,,E,CSCPMS,2018-12-03 16:55:45,CSCMYSAI698770,WK,AZLINABASIRON,2019-12-25 14:27:26,WI865C11377A,WK,,
WK,W8AP,"8A Ginekologi-Neonatal 5","8A Ginekologi-Neonatal 5",NT05,N,,"06000",NN01,W8A,N,Y,N,N,Y,N,N,,,,66,"0",0,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-17 11:12:48,CSCMYSAI698770,WK,CSCPMS,2019-01-17 11:12:48,CSCMYSAI698770,WK,,
WK,W8BP,"8B Ginekologi-Neonatal 6","8B Ginekologi-Neonatal 6",NT05,N,,"06000",NN01,W8B,N,Y,N,N,N,N,N,,,,66,"0",0,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-17 11:13:31,CSCMYSAI698770,WK,CSCPMS,2019-01-17 11:13:31,CSCMYSAI698770,WK,,
WK,AHDU,Adult High Dependency Unit,AHDU,NT01,N,,"030700",OB01,AHDU,Y,Y,N,N,N,N,N,,,,12,"0",11,N,N,N,,C,MR,LC02,IP,PF,Y,,E,CSCPMS,2018-12-03 16:48:06,CSCMYSAI698770,WK,SHAMSIAH,2019-10-26 05:15:43,WI437C10830A,WK,,
WK,W8C,"8C Kelas Pertama","8C Kelas Pertama",NT01,N,,"030700",OB01,W8C,Y,Y,N,N,N,N,N,,,,80,"0",13,N,N,N,,C,MR,LC06,IP,PF,Y,,E,CSCPMS,2018-12-03 16:58:22,CSCMYSAI698770,WK,SURIYATISAID,2019-12-25 14:58:38,WI866C11382A,WK,,
WK,W7DP,"7D Obstetrik-Neonatal 4","7D Obstetrik-Neonatal 4",NT05,N,,"06000",NN01,W7D,N,Y,N,N,Y,N,N,,,,101,"0",15,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-14 16:39:20,CSCMYSAI698770,WK,ASHRAF,2019-12-25 14:05:16,WI439C10837A,WK,,
WK,PICU,Unit Rawatan Rapi Pediatrik,PICU,NT03,N,,"030800",PI01,PICU,Y,Y,N,N,Y,N,N,,,,16,"0",13,N,N,N,,C,MR,LC02,IP,PF,N,"5",E,CSCPMS,2018-07-25 14:53:32,WI653C11076A,WK,SNSYAFIQA,2019-12-25 14:09:18,WIA73C11466A,WK,,
WK,HDU,HDU Pediatrik,HDU Pediatrik,NT04,N,,"030800",GP01,HDU,Y,Y,N,N,Y,N,N,,,,16,"0",3,N,N,N,,C,MR,LC02,IP,PF,N,"5",E,CSCPMS,2018-07-25 14:55:48,WI653C11076A,WK,AMIRAW,2019-12-25 13:00:40,WIB76C11495A,WK,,
WK,W9A,"9A Neonatal","9A Neonatal",NT05,N,,"030800",NN01,W9A,Y,Y,N,N,Y,N,N,,,,38,"0",43,N,N,N,,C,MR,LC07,IP,PF,N,"9",E,CSCPMS,2018-07-25 14:58:25,WI653C11076A,WK,NORHANISAH,2019-12-25 15:11:36,WI968C11397A,WK,,
WK,W9B,"9B Neonatal","9B Neonatal",NT05,N,,"030800",NN01,W9B,Y,Y,N,N,Y,N,N,,,,35,"0",43,N,N,N,,C,MR,LC07,IP,PF,N,"9",E,CSCPMS,2018-07-25 15:00:44,WI653C11076A,WK,YUSLIZA,2019-12-25 10:22:25,WI969C11412A,WK,,
WK,W9D,"9D Perubatan Pediatrik","9D Perubatan Pediatrik",NT04,N,,"030800",GP01,W9D,Y,Y,N,N,Y,N,N,,,,42,"0",62,N,N,N,,C,MR,LC07,IP,PF,N,"9",E,CSCPMS,2018-07-25 15:07:31,WI653C11076A,WK,AMANIENA,2019-12-25 15:13:25,WI971C11441A,WK,,
WK,W10A,"10A Perubatan Pediatrik","10A Perubatan Pediatrik",NT04,N,,"030800",GP01,W10A,Y,Y,N,N,Y,N,N,,,,42,"0",45,N,N,N,,C,MR,LC07,IP,PF,N,"10",E,CSCPMS,2018-07-25 15:09:28,WI653C11076A,WK,AISHAHZ,2019-12-25 13:34:41,WIA75C11485A,WK,,
WK,W10B,"10B Onkologi Pediatrik","10B Onkologi",NT04,N,,"030800",HO01,W10B,Y,Y,N,N,Y,N,N,,,,48,"0",38,N,N,N,,C,MR,LC07,IP,PF,N,"10",E,CSCPMS,2018-07-25 15:11:24,WI653C11076A,WK,NAIMATUL,2019-12-25 14:55:31,WIA73C11465A,WK,,
WK,W10C,"10C Perubatan Pediatrik","10C Perubatan Pediatrik",NT04,N,,"030800",GP01,W10C,Y,Y,N,N,Y,N,N,,,,40,"0",37,N,N,N,,C,MR,LC07,IP,PF,N,"10",E,CSCPMS,2018-07-25 15:12:47,WI653C11076A,WK,AZIEANA,2019-12-25 14:47:00,WIA72C11458A,WK,,
WK,W10D,"10D Perubatan Respiratori","10D Respiratori",NT04,N,,"030800",RE01,W10D,Y,Y,N,N,Y,N,N,,,,31,"0",27,N,N,N,,C,MR,LC07,IP,PF,N,"10",E,CSCPMS,2018-07-25 15:36:07,WI653C11076A,WK,MARIMA,2019-12-24 21:43:15,WIA74C11473A,WK,,
WK,W11A,"11A Pembedahan Pediatrik","11A Bedah Pediatrik",NT02,N,,"030600",GS07,W11A,Y,Y,N,N,Y,N,N,,,,31,"0",18,N,N,N,,C,MR,LC07,IP,PF,N,"11",E,CSCPMS,2018-07-25 15:38:06,WI653C11076A,WK,NORHASIMAHAH,2019-12-25 14:18:10,WIB79C11521A,WK,,
WK,W11B,"11B Multidisplin Pembedahan Pediatrik","11B M/Bedah Pediatrik",NT06,N,,"031200",OR01,W11B,Y,Y,N,N,Y,N,N,,,,34,"0",3,N,N,N,,C,MR,LC07,IP,PF,N,"11",E,CSCPMS,2018-07-25 15:43:32,WI653C11076A,WK,ANISAFIZAH,2019-12-25 13:26:23,WIB78C11511A,WK,,
WK,W11C,"11C Neurosains Pediatrik","11C Neurosains Pediatrik",NT02,N,,"031600",NS01,W11C,Y,Y,N,N,Y,N,N,,,,31,"0",38,N,N,N,,C,MR,LC07,IP,PF,N,"11",E,CSCPMS,2018-07-25 15:45:29,WI653C11076A,WK,AMIRAW,2019-12-25 13:00:40,WIB76C11495A,WK,,
WK,W11D,"11D Pembedahan dan Ortopedik Pediatrik","11D Bedah & Orto Pediatrik",NT06,N,,"030900",PT01,W11D,Y,Y,N,N,Y,N,N,,,,35,"0",33,N,N,N,,C,MR,LC07,IP,PF,N,"11",E,CSCPMS,2018-07-25 15:47:30,WI653C11076A,WK,SITIMANIRA,2019-12-25 13:59:08,WIB77C11504A,WK,,
WK,W7A,"7A Obstetrik 1","7A Obstetrik 1",NT01,N,,"030700",OB01,W7A,Y,Y,N,N,Y,N,N,,,,138,"0",40,N,N,N,,C,MR,LC05,IP,PF,Y,,E,CSCPMS,2018-11-30 16:14:41,CSCMYSAI698770,WK,JANNAHNOOR,2019-12-25 09:44:30,WI759C11337A,WK,,
WK,W7AP,"7A Obstetrik-Neonatal 1","7A Obstetrik-Neonatal 1",NT05,N,,"06000",NN01,W7A,N,Y,N,N,Y,N,N,,,,101,"0",14,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-14 16:34:58,CSCMYSAI698770,WK,LIYANAMANSOR,2019-12-25 15:02:35,WI759C11335A,WK,,
WK,W7BP,"7B Obstetrik-Neonatal 2","7B Obstetrik-Neonatal 2",NT05,N,,"06000",NN01,W7B,N,Y,N,N,Y,N,N,,,,101,"0",15,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-14 16:37:25,CSCMYSAI698770,WK,FATRINA,2019-12-25 13:15:57,WI760C11343A,WK,,
WK,W7CP,"7C Obstetrik-Neonatal 3","7C Obstetrik-Neonatal 3",NT05,N,,"06000",NN01,W7C,N,Y,N,N,Y,N,N,,,,101,"0",15,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-14 16:38:27,CSCMYSAI698770,WK,NURAFNIDA,2019-12-25 15:02:54,WI439C10841A,WK,,
WK,W8CP,"8C Neonatal Kelas Pertama","8C Neonatal Kelas Pertama",NT05,N,,"06000",NN01,W8C,N,Y,N,N,Y,N,N,,,,45,"0",10,N,N,N,,C,MR,LC07,IP,PF,N,,E,CSCPMS,2019-01-14 16:40:26,CSCMYSAI698770,WK,SURIYATISAID,2019-12-25 15:01:04,WI866C11382A,WK,,
WK,DC01,Apheresis Daycare,Apheresis Daycare,NT04,N,,"030800",HO01,,N,Y,N,N,Y,N,N,,,,12,"0",0,N,N,N,,,,LC07,DC,,N,"4",E,CSCPMS,2019-04-22 17:36:00,WI440C10878A,WK,NADIRA,2019-12-24 15:58:20,WI440C10863A,WK,,
WK,DC02,Unit Rawatan Harian,URH (DCC),NT02,N,,"030800",HO01,,N,Y,N,N,Y,N,N,,,,70,"0",10,N,N,N,,,,LC07,DC,,N,,E,CSCPMS,2019-04-27 13:35:42,WI653C11076A,WK,NURFARAHAIN,2019-12-24 18:59:12,WI101C10012A,WK,,
WK,DC03,Suit Kemoterapi,Suit Kemoterapi,NT01,N,,"030700",GY03,,N,Y,N,N,Y,N,N,,,,16,"0",0,N,N,N,,,,LC06,DC,,N,"8",E,CSCPMS,2019-07-25 15:37:40,MYPF0Y0XQX,WK,NOORIDAYU,2019-12-13 15:44:28,WI865C11377A,WK,,
WK,DC04,ART Daycare,ART Daycare,NT01,N,,"030700",LART,,N,Y,N,N,N,N,N,,,,4,"0",0,N,N,N,,,,LC06,DC,,N,,E,UEMASMIRA,2019-12-16 09:20:13,UGKLNPE6949,WK,UEMASMIRA,2019-12-16 09:20:13,UGKLNPE6949,WK,,
